"Date Printed: Thursday, June 1, 2023 9:45:59 PM",,,,,,,,,,
"Title: ""HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | United States | All races/ethnicities | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other""""",,,,,,,,,,
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
Death data for the year 2021 are preliminary and based on death data received by CDC as of December 2022. Death data for years 2020 and 2021 should be interpreted with caution due to excess deaths in the United States population attributed to the COVID-19 pandemic. For additional information, see https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.,,,,,,,,,
Prevalence data for the year 2021 are preliminary and based on death data received by CDC as of December 2022. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.,,,,,,,,,,
^ Jurisdiction with incomplete reporting of deaths for most recent year.,,,,,,,,,,
The 'Sex' column is used for either sex at birth or gender identity.,,,,,,,,,,
NA - Not applicable.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
HIV prevalence,2021,United States,NA,55+,All races/ethnicities,Male,Other,"1,162",Data not available,NA
HIV prevalence,2021,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"41,003",Data not available,NA
HIV prevalence,2021,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"25,845",Data not available,NA
HIV prevalence,2021,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"43,935",Data not available,NA
HIV prevalence,2021,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"220,100",Data not available,NA
HIV prevalence,2021,United States,NA,45-54,All races/ethnicities,Male,Other,569,Data not available,NA
HIV prevalence,2021,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"20,661",Data not available,NA
HIV prevalence,2021,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"13,914",Data not available,NA
HIV prevalence,2021,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"11,782",Data not available,NA
HIV prevalence,2021,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"130,173",Data not available,NA
HIV prevalence,2021,United States,NA,35-44,All races/ethnicities,Male,Other,816,Data not available,NA
HIV prevalence,2021,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"12,206",Data not available,NA
HIV prevalence,2021,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"10,578",Data not available,NA
HIV prevalence,2021,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"5,913",Data not available,NA
HIV prevalence,2021,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"125,834",Data not available,NA
HIV prevalence,2021,United States,NA,25-34,All races/ethnicities,Male,Other,"3,227",Data not available,NA
HIV prevalence,2021,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"5,555",Data not available,NA
HIV prevalence,2021,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,682",Data not available,NA
HIV prevalence,2021,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,696",Data not available,NA
HIV prevalence,2021,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"119,823",Data not available,NA
HIV prevalence,2021,United States,NA,13-24,All races/ethnicities,Male,Other,"2,177",Data not available,NA
HIV prevalence,2021,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,566,Data not available,NA
HIV prevalence,2021,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,541,Data not available,NA
HIV prevalence,2021,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,204,Data not available,NA
HIV prevalence,2021,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"19,089",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Other,"1,120",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"39,147",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"24,833",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Injection drug use,"43,426",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"206,315",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Other,595,Data not available,NA
