"Notes"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"2007"	"2007"	"Under 15 years"	"15"	6195
	"2007"	"2007"	"15-19 years"	"15-19"	444899
	"2007"	"2007"	"20-24 years"	"20-24"	1082354
	"2007"	"2007"	"25-29 years"	"25-29"	1208408
	"2007"	"2007"	"30-34 years"	"30-34"	961931
	"2007"	"2007"	"35-39 years"	"35-39"	499914
	"2007"	"2007"	"40-44 years"	"40-44"	105179
	"2007"	"2007"	"45-49 years"	"45-49"	6839
	"2007"	"2007"	"50 years and over"	"50+"	514
"Total"	"2007"	"2007"			4316233
	"2008"	"2008"	"Under 15 years"	"15"	5764
	"2008"	"2008"	"15-19 years"	"15-19"	434758
	"2008"	"2008"	"20-24 years"	"20-24"	1052184
	"2008"	"2008"	"25-29 years"	"25-29"	1195774
	"2008"	"2008"	"30-34 years"	"30-34"	956716
	"2008"	"2008"	"35-39 years"	"35-39"	488875
	"2008"	"2008"	"40-44 years"	"40-44"	105973
	"2008"	"2008"	"45-49 years"	"45-49"	7109
	"2008"	"2008"	"50 years and over"	"50+"	541
"Total"	"2008"	"2008"			4247694
	"2009"	"2009"	"Under 15 years"	"15"	5029
	"2009"	"2009"	"15-19 years"	"15-19"	409802
	"2009"	"2009"	"20-24 years"	"20-24"	1005982
	"2009"	"2009"	"25-29 years"	"25-29"	1166787
	"2009"	"2009"	"30-34 years"	"30-34"	955246
	"2009"	"2009"	"35-39 years"	"35-39"	474103
	"2009"	"2009"	"40-44 years"	"40-44"	105827
	"2009"	"2009"	"45-49 years"	"45-49"	7320
	"2009"	"2009"	"50 years and over"	"50+"	569
"Total"	"2009"	"2009"			4130665
	"2010"	"2010"	"Under 15 years"	"15"	4497
	"2010"	"2010"	"15-19 years"	"15-19"	367678
	"2010"	"2010"	"20-24 years"	"20-24"	951688
	"2010"	"2010"	"25-29 years"	"25-29"	1133713
	"2010"	"2010"	"30-34 years"	"30-34"	962170
	"2010"	"2010"	"35-39 years"	"35-39"	464870
	"2010"	"2010"	"40-44 years"	"40-44"	107045
	"2010"	"2010"	"45-49 years"	"45-49"	7154
	"2010"	"2010"	"50 years and over"	"50+"	571
"Total"	"2010"	"2010"			3999386
	"2011"	"2011"	"Under 15 years"	"15"	3974
	"2011"	"2011"	"15-19 years"	"15-19"	329772
	"2011"	"2011"	"20-24 years"	"20-24"	925200
	"2011"	"2011"	"25-29 years"	"25-29"	1127583
	"2011"	"2011"	"30-34 years"	"30-34"	986682
	"2011"	"2011"	"35-39 years"	"35-39"	463849
	"2011"	"2011"	"40-44 years"	"40-44"	108920
	"2011"	"2011"	"45-49 years"	"45-49"	7025
	"2011"	"2011"	"50 years and over"	"50+"	585
"Total"	"2011"	"2011"			3953590
	"2012"	"2012"	"Under 15 years"	"15"	3672
	"2012"	"2012"	"15-19 years"	"15-19"	305388
	"2012"	"2012"	"20-24 years"	"20-24"	916811
	"2012"	"2012"	"25-29 years"	"25-29"	1123900
	"2012"	"2012"	"30-34 years"	"30-34"	1013416
	"2012"	"2012"	"35-39 years"	"35-39"	472318
	"2012"	"2012"	"40-44 years"	"40-44"	109579
	"2012"	"2012"	"45-49 years"	"45-49"	7157
	"2012"	"2012"	"50 years and over"	"50+"	600
"Total"	"2012"	"2012"			3952841
	"2013"	"2013"	"Under 15 years"	"15"	3098
	"2013"	"2013"	"15-19 years"	"15-19"	273105
	"2013"	"2013"	"20-24 years"	"20-24"	896745
	"2013"	"2013"	"25-29 years"	"25-29"	1120777
	"2013"	"2013"	"30-34 years"	"30-34"	1036927
	"2013"	"2013"	"35-39 years"	"35-39"	483873
	"2013"	"2013"	"40-44 years"	"40-44"	109484
	"2013"	"2013"	"45-49 years"	"45-49"	7495
	"2013"	"2013"	"50 years and over"	"50+"	677
"Total"	"2013"	"2013"			3932181
	"2014"	"2014"	"Under 15 years"	"15"	2769
	"2014"	"2014"	"15-19 years"	"15-19"	249078
	"2014"	"2014"	"20-24 years"	"20-24"	882567
	"2014"	"2014"	"25-29 years"	"25-29"	1145392
	"2014"	"2014"	"30-34 years"	"30-34"	1081058
	"2014"	"2014"	"35-39 years"	"35-39"	508748
	"2014"	"2014"	"40-44 years"	"40-44"	110021
	"2014"	"2014"	"45-49 years"	"45-49"	7700
	"2014"	"2014"	"50 years and over"	"50+"	743
"Total"	"2014"	"2014"			3988076
	"2015"	"2015"	"Under 15 years"	"15"	2500
	"2015"	"2015"	"15-19 years"	"15-19"	229715
	"2015"	"2015"	"20-24 years"	"20-24"	850509
	"2015"	"2015"	"25-29 years"	"25-29"	1152311
	"2015"	"2015"	"30-34 years"	"30-34"	1094693
	"2015"	"2015"	"35-39 years"	"35-39"	527996
	"2015"	"2015"	"40-44 years"	"40-44"	111848
	"2015"	"2015"	"45-49 years"	"45-49"	8171
	"2015"	"2015"	"50 years and over"	"50+"	754
"Total"	"2015"	"2015"			3978497
	"2016"	"2016"	"Under 15 years"	"15"	2253
	"2016"	"2016"	"15-19 years"	"15-19"	209809
	"2016"	"2016"	"20-24 years"	"20-24"	803978
	"2016"	"2016"	"25-29 years"	"25-29"	1149122
	"2016"	"2016"	"30-34 years"	"30-34"	1111042
	"2016"	"2016"	"35-39 years"	"35-39"	547488
	"2016"	"2016"	"40-44 years"	"40-44"	113140
	"2016"	"2016"	"45-49 years"	"45-49"	8257
	"2016"	"2016"	"50 years and over"	"50+"	786
"Total"	"2016"	"2016"			3945875
